frame_id,stamp_sec,image_path,label_path,coco_image_id,gt_valid,bbox_x,bbox_y,bbox_w,bbox_h,projection_reason
5,1.73,images/pt_camera/frame_000005.png,,5,false,963.0613642432969,122.77706129817167,0.0,227.4780204006544,BBOX_TOO_SMALL
10,1.9300000000000002,images/pt_camera/frame_000010.png,,10,false,955.2124669647,124.12312093796639,0.0,224.73306525028812,BBOX_TOO_SMALL
15,2.13,images/pt_camera/frame_000015.png,,15,false,941.4665287098586,125.59446589693674,0.0,221.12084446035283,BBOX_TOO_SMALL
20,2.298,images/pt_camera/frame_000020.png,,20,false,927.3210514142095,127.45214814829453,0.0,216.96804760081002,BBOX_TOO_SMALL
25,2.472,images/pt_camera/frame_000025.png,,25,false,918.280789727927,128.65137602792322,0.0,214.71582126100043,BBOX_TOO_SMALL
30,2.6310000000000002,images/pt_camera/frame_000030.png,,30,false,908.0984083279112,130.42649671587617,0.0,212.02602847890444,BBOX_TOO_SMALL
35,2.798,images/pt_camera/frame_000035.png,,35,false,903.3739047757049,131.14792081012007,0.0,212.0296950514101,BBOX_TOO_SMALL
40,2.964,images/pt_camera/frame_000040.png,,40,false,897.4522784354967,132.16885524696963,0.0,212.0315493840815,BBOX_TOO_SMALL
45,3.169,images/pt_camera/frame_000045.png,,45,false,892.4221306409012,132.74684191216576,0.0,212.02943501059352,BBOX_TOO_SMALL
50,3.33,images/pt_camera/frame_000050.png,,50,false,887.6906003955518,133.9469081345811,0.0,212.03228471398486,BBOX_TOO_SMALL
55,3.5300000000000002,images/pt_camera/frame_000055.png,,55,false,881.4747927122146,134.52118792318362,0.0,212.02937387470251,BBOX_TOO_SMALL
60,3.73,images/pt_camera/frame_000060.png,,60,false,875.8697562851764,134.50170391913565,0.0,212.03602138918706,BBOX_TOO_SMALL
65,3.898,images/pt_camera/frame_000065.png,,65,false,870.235865027832,134.0362294193948,0.0,212.02794068472164,BBOX_TOO_SMALL
70,4.063,images/pt_camera/frame_000070.png,,70,false,865.8131423612365,133.6667137300814,0.0,212.03422077761562,BBOX_TOO_SMALL
75,4.231,images/pt_camera/frame_000075.png,,75,false,861.0697509673887,132.71642290411646,0.0,212.02799764423665,BBOX_TOO_SMALL
80,4.397,images/pt_camera/frame_000080.png,,80,false,856.0455715155175,131.53885701397755,0.0,212.03417088846564,BBOX_TOO_SMALL
85,4.564,images/pt_camera/frame_000085.png,,85,false,850.4368270364278,130.89204648399482,0.0,212.04287332337668,BBOX_TOO_SMALL
90,4.73,images/pt_camera/frame_000090.png,,90,false,845.68803635237,129.4726793927769,0.0,212.03287919774522,BBOX_TOO_SMALL
95,4.904,images/pt_camera/frame_000095.png,,95,false,840.9725282055497,127.9072077910844,0.0,212.04146466200334,BBOX_TOO_SMALL
100,5.063,images/pt_camera/frame_000100.png,,100,false,836.2415462999691,127.21432781861235,0.0,212.0411311996104,BBOX_TOO_SMALL
105,5.23,images/pt_camera/frame_000105.png,,105,false,831.4963208360864,126.40439033327957,0.0,212.03301745644077,BBOX_TOO_SMALL
110,5.397,images/pt_camera/frame_000110.png,,110,false,826.1835129304586,126.24964290007394,0.0,212.03834646340403,BBOX_TOO_SMALL
115,5.605,images/pt_camera/frame_000115.png,,115,false,820.2585465749853,126.59344646888883,0.0,212.03152196869087,BBOX_TOO_SMALL
120,5.763,images/pt_camera/frame_000120.png,,120,false,815.5442701269171,126.8993188474918,0.0,212.0410042024553,BBOX_TOO_SMALL
125,5.93,images/pt_camera/frame_000125.png,,125,false,810.8126960878553,127.76510913189419,0.0,212.03839466801043,BBOX_TOO_SMALL
130,6.097,images/pt_camera/frame_000130.png,,130,false,807.2402100041819,128.8702307333317,0.0,212.03150804513132,BBOX_TOO_SMALL
135,6.269,images/pt_camera/frame_000135.png,,135,false,807.2387840253627,129.50584633580286,0.0,212.03294118566754,BBOX_TOO_SMALL
140,6.43,images/pt_camera/frame_000140.png,,140,false,807.2377161177366,130.89768258053385,0.0,212.03291721787258,BBOX_TOO_SMALL
145,6.598,images/pt_camera/frame_000145.png,,145,false,807.2365055660305,132.42162529251755,0.0,212.03289226173047,BBOX_TOO_SMALL
150,6.763,images/pt_camera/frame_000150.png,,150,false,807.2354195322424,133.21696349442854,0.0,212.0328666305152,BBOX_TOO_SMALL
155,6.93,images/pt_camera/frame_000155.png,,155,false,806.7578099592498,134.7812550883016,0.0,212.03398314692274,BBOX_TOO_SMALL
160,7.097,images/pt_camera/frame_000160.png,,160,false,802.7049056636354,135.5955902208064,0.0,212.02545978028286,BBOX_TOO_SMALL
165,7.277,images/pt_camera/frame_000165.png,,165,false,797.3911591355895,135.72293196102578,0.0,212.0170115314225,BBOX_TOO_SMALL
170,7.431,images/pt_camera/frame_000170.png,,170,false,792.6554506054146,135.6129651180229,0.0,212.01213906752136,BBOX_TOO_SMALL
175,7.597,images/pt_camera/frame_000175.png,,175,false,787.9301261741477,135.06473126403858,0.0,212.02309304416616,BBOX_TOO_SMALL
180,7.763,images/pt_camera/frame_000180.png,,180,false,782.3051971451482,134.1909561183095,0.0,212.0242571150323,BBOX_TOO_SMALL
185,7.938,images/pt_camera/frame_000185.png,,185,false,777.8741848045771,133.65692424381476,0.0,212.02848459911147,BBOX_TOO_SMALL
190,8.099,images/pt_camera/frame_000190.png,,190,false,772.8460539130003,132.44610377380948,0.0,212.02392704342984,BBOX_TOO_SMALL
195,8.263,images/pt_camera/frame_000195.png,,195,false,768.1141056768565,131.76171801230726,0.0,212.02327609139206,BBOX_TOO_SMALL
200,8.464,images/pt_camera/frame_000200.png,,200,false,761.6085571707467,130.32207829002078,0.0,212.02432027652395,BBOX_TOO_SMALL
205,8.631,images/pt_camera/frame_000205.png,,205,false,756.8805066833667,128.73101076970022,0.0,212.03196282474664,BBOX_TOO_SMALL
210,8.798,images/pt_camera/frame_000210.png,,210,false,752.1422496662325,127.09805515073819,0.0,212.02194759597026,BBOX_TOO_SMALL
215,8.998,images/pt_camera/frame_000215.png,,215,false,745.6356603369188,125.83272989824911,0.0,212.0155961682956,BBOX_TOO_SMALL
220,9.165,images/pt_camera/frame_000220.png,,220,false,741.5096648841736,125.48663966604587,0.0,212.02273065263662,BBOX_TOO_SMALL
225,9.298,images/pt_camera/frame_000225.png,,225,false,738.2529683852722,125.32232385706179,0.0,212.01705069693037,BBOX_TOO_SMALL
230,9.298,images/pt_camera/frame_000230.png,,230,false,737.9480809175238,125.29587747838497,0.0,212.01048035058307,BBOX_TOO_SMALL
235,9.532,images/pt_camera/frame_000235.png,,235,false,730.5521870569435,125.59925642087772,0.0,212.00745258003496,BBOX_TOO_SMALL
240,9.698,images/pt_camera/frame_000240.png,,240,false,725.5295165925277,126.29341096998297,0.0,212.01045749316359,BBOX_TOO_SMALL
245,9.866,images/pt_camera/frame_000245.png,,245,false,720.8050238660535,126.74126158728829,0.0,212.01750970315487,BBOX_TOO_SMALL
250,10.033,images/pt_camera/frame_000250.png,,250,false,715.777014713595,127.85158828787388,0.0,212.01685206144424,BBOX_TOO_SMALL
255,10.198,images/pt_camera/frame_000255.png,,255,false,711.3328247803356,129.161692704047,0.0,212.0069912498894,BBOX_TOO_SMALL
260,10.333,images/pt_camera/frame_000260.png,,260,false,707.4937657824842,129.88833726892778,0.0,212.01226965588893,BBOX_TOO_SMALL
265,10.333,images/pt_camera/frame_000265.png,,265,false,707.4937657824842,129.88833726892778,0.0,212.01226965588893,BBOX_TOO_SMALL
270,10.469,images/pt_camera/frame_000270.png,,270,false,703.6554474948164,130.62774870918594,0.0,212.01649805433016,BBOX_TOO_SMALL
275,10.536,images/pt_camera/frame_000275.png,,275,false,700.9844687704283,131.41437816828517,0.0,212.01255776981617,BBOX_TOO_SMALL
280,10.704,images/pt_camera/frame_000280.png,,280,false,695.9628892266294,133.03988710417713,0.0,212.01521021137933,BBOX_TOO_SMALL
285,10.869,images/pt_camera/frame_000285.png,,285,false,691.5305251922072,133.88069455395174,0.0,212.01710503498833,BBOX_TOO_SMALL
