artifact_path,artifact_type,scenario,trial_id,evidence_level,sim_or_real,fake_detector_used,fake_sound_used,serial_enabled,ground_truth_source,status,status_source,notes
experiments_result/,raw_experiment_dir,N/A,N/A,NONE,N/A,UNKNOWN,UNKNOWN,UNKNOWN,N/A,MISSING_RAW_EXPERIMENT_DATA,filesystem,No raw experiment package is present.
reports/field_docker_ssh_check/20260630_184352/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/field_docker_ssh_check/20260630_190111/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/field_docker_ssh_check/20260630_190314/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/full_readiness_loop/20260630_190110/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_184447/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_184610/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_184842/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_185044/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_185209/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_185338/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_185732/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_190112/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/gazebo_functional_validation/20260630_190314/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/remote_ui_validation/20260630_184352/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/remote_ui_validation/20260630_190111/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
reports/remote_ui_validation/20260630_190314/summary.csv,validation_summary_csv,N/A,N/A,L0_L2_DEPENDS_ON_REPORT,sim_or_static,UNKNOWN,UNKNOWN,false_or_unknown,N/A,LEGACY_OR_UNAUDITED_NOT_FOR_CLAIMS,reports,Do not treat SKIP_WITH_REASON as PASS.
