frame_id,stamp_sec,image_path,label_path,coco_image_id,gt_valid,bbox_x,bbox_y,bbox_w,bbox_h,projection_reason
10,1.812,images/pt_camera/frame_000010.png,,10,false,951.6207586589297,124.89316448982453,0.0,224.7729089500623,BBOX_TOO_SMALL
20,1.94,images/pt_camera/frame_000020.png,,20,false,943.8414024799534,126.08095661032866,0.0,223.11066736177742,BBOX_TOO_SMALL
30,2.273,images/pt_camera/frame_000030.png,,30,false,919.839003096215,130.40321751794096,0.0,217.1180063853493,BBOX_TOO_SMALL
40,2.607,images/pt_camera/frame_000040.png,,40,false,896.4325472671378,135.10163493852764,0.0,212.04757324466783,BBOX_TOO_SMALL
50,2.873,images/pt_camera/frame_000050.png,,50,false,888.2268572669357,136.358925270562,0.0,212.0476746515899,BBOX_TOO_SMALL
60,3.141,images/pt_camera/frame_000060.png,,60,false,876.8634384308035,138.41621739372778,0.0,212.04129717391942,BBOX_TOO_SMALL
70,3.441,images/pt_camera/frame_000070.png,,70,false,865.6101512192155,140.61795543651812,0.0,212.0444604233353,BBOX_TOO_SMALL
80,3.709,images/pt_camera/frame_000080.png,,80,false,854.2410321931628,142.9065892549612,0.0,212.0464726438194,BBOX_TOO_SMALL
90,4.041,images/pt_camera/frame_000090.png,,90,false,840.9903509179909,145.2794218153547,0.0,212.04641620868173,BBOX_TOO_SMALL
100,4.376,images/pt_camera/frame_000100.png,,100,false,826.2546532581732,148.52100793344212,0.0,212.046372683403,BBOX_TOO_SMALL
110,4.708,images/pt_camera/frame_000110.png,,110,false,813.4786652868365,150.96461198734224,0.0,212.04285791831163,BBOX_TOO_SMALL
120,5.041,images/pt_camera/frame_000120.png,,120,false,800.3856040471973,153.43099231492533,0.0,212.04096605434546,BBOX_TOO_SMALL
130,5.376,images/pt_camera/frame_000130.png,,130,false,785.8387107447649,156.75312055837685,0.0,212.0366445103083,BBOX_TOO_SMALL
140,5.708,images/pt_camera/frame_000140.png,,140,false,772.6899080148619,159.2643860301968,0.0,212.04005102949677,BBOX_TOO_SMALL
150,6.108,images/pt_camera/frame_000150.png,,150,false,764.1668015864242,162.61141644483965,0.0,212.0416775252945,BBOX_TOO_SMALL
160,6.49,images/pt_camera/frame_000160.png,,160,false,759.6396332768804,165.96248133080098,0.0,212.0417658041987,BBOX_TOO_SMALL
170,6.811,images/pt_camera/frame_000170.png,,170,false,748.3432543184902,168.36803863952952,0.0,212.0187980652026,BBOX_TOO_SMALL
180,7.175,images/pt_camera/frame_000180.png,,180,false,732.5729759444505,171.6799971939298,0.0,212.02296793692506,BBOX_TOO_SMALL
190,7.541,images/pt_camera/frame_000190.png,,190,false,718.4209199873544,172.0567901838181,0.0,212.6086903720437,BBOX_TOO_SMALL
