frame_id,stamp_sec,image_path,label_path,coco_image_id,gt_valid,bbox_x,bbox_y,bbox_w,bbox_h,projection_reason
5,2.108,images/pt_camera/frame_000005.png,,5,false,962.4219240968895,122.65362440891573,0.0,227.4984422347174,BBOX_TOO_SMALL
10,2.275,images/pt_camera/frame_000010.png,,10,false,952.0793694106337,124.19377048172564,0.0,224.7503288368696,BBOX_TOO_SMALL
15,2.475,images/pt_camera/frame_000015.png,,15,false,942.3998287816863,125.14306111749256,0.0,223.09107953308006,BBOX_TOO_SMALL
20,2.642,images/pt_camera/frame_000020.png,,20,false,928.8752107101249,127.34479531940705,0.0,219.22117235609625,BBOX_TOO_SMALL
25,2.809,images/pt_camera/frame_000025.png,,25,false,912.951489502137,129.84664743505306,0.0,214.84323719717315,BBOX_TOO_SMALL
30,3.008,images/pt_camera/frame_000030.png,,30,false,900.062103841243,131.56460038132917,0.0,212.03229861428485,BBOX_TOO_SMALL
35,3.174,images/pt_camera/frame_000035.png,,35,false,894.157078471306,131.71366725845917,0.0,212.03475869984584,BBOX_TOO_SMALL
40,3.341,images/pt_camera/frame_000040.png,,40,false,886.6142192473637,132.0321918865938,0.0,212.03444257787737,BBOX_TOO_SMALL
45,3.519,images/pt_camera/frame_000045.png,,45,false,879.799530166738,132.37943704950226,0.0,212.02957771640797,BBOX_TOO_SMALL
50,3.674,images/pt_camera/frame_000050.png,,50,false,874.3016163573885,132.55481321735533,0.0,212.03403640807466,BBOX_TOO_SMALL
55,3.875,images/pt_camera/frame_000055.png,,55,false,864.4665283730643,133.1050902546097,0.0,212.03444096025817,BBOX_TOO_SMALL
60,4.042,images/pt_camera/frame_000060.png,,60,false,858.8522065906001,133.30454804202546,0.0,212.02506273936498,BBOX_TOO_SMALL
65,4.241,images/pt_camera/frame_000065.png,,65,false,850.5805240265698,133.69306365050858,0.0,212.03089700728202,BBOX_TOO_SMALL
70,4.441,images/pt_camera/frame_000070.png,,70,false,841.982772112672,134.09297886224027,0.0,212.0283206942895,BBOX_TOO_SMALL
75,4.541,images/pt_camera/frame_000075.png,,75,false,838.6643595638578,134.30069912902894,0.0,212.02705004298178,BBOX_TOO_SMALL
